prim
Список узлов сети с параметрами
10
   91   861
   76   212
  196   459
  639   886
  535   721
  795   777
  896   477
  740   226
  282   938
  467    68

Список линий связи с параметрами
34
34
   1    2   23
   1    3    8
   1    4   15
   1    5   10
   1    7    5
   1    8   11
   1   10    6
   2    3   14
   2    5   17
   2    6    7
   2    7   13
   2    8   10
   2   10    8
   3    4   11
   3    5   15
   3    7    1
   3    8    4
   3    9    3
   3   10   15
   4    5   10
   4    6    5
   4    7   28
   4    8    2
   4   10   17
   5    6   29
   5    7    9
   5    8    3
   5    9    1
   6    7    8
   6    8   13
   6   10    7
   7    8    8
   7   10    5
   8    9   12

Список требований 
1
1
   1   10

Параметры района
1000   1000
0   0
