prim
Список узлов сети с параметрами
10
  201   726
  201   326
  346   426
  495   826
  596   477
  795   777
  896   477
  740   226
  439   228
  436   126

Список линий связи с параметрами
35
35
   1    2    4
   1    3   14
   1    5   10
   1    6    5
   1    7   12
   1    9   18
   1   10   21
   2    3    2
   2    4    7
   2    5   12
   2    6   11
   2    8   11
   2    9    6
   3    4    1
   3    5   17
   3    7   31
   3    8    3
   3    9   16
   3   10   19
   4    5    2
   4    6    3
   4    7   14
   4    9   26
   4   10    4
   5    6   10
   5    8    9
   5    9    4
   5   10   13
   6    7    4
   6    9    1
   6   10   11
   7    8   13
   7    9   10
   7   10    3
   8    9   19

Список требований 
1
1
   1   10

Параметры района
1000   1000
0   0
