prim
Список узлов сети с параметрами
10
  201   726
  201   326
  346   426
  495   826
  596   477
  795   777
  896   477
  740   226
  436   126
  436   126

Список линий связи с параметрами
38
38
   1    2    4
   1    3    5
   1    4   11
   1    5   15
   1    6   12
   1    7    1
   1    8    5
   1    9   15
   2    3    2
   2    4   19
   2    5    3
   2    6   11
   2    8    7
   2    9   18
   2   10   12
   3    4    3
   3    5   12
   3    6    4
   3    8   11
   3    9   10
   3   10    7
   4    5   10
   4    7    9
   4    8    8
   4    9   16
   4   10    2
   5    7    5
   5    8   16
   5    9   21
   5   10    2
   6    7    1
   6    8    3
   6    9    6
   7    8   13
   7    9   39
   7   10    4
   8    9   10
   9   10    1

Список требований 
1
1
   1    10

Параметры района
1000   1000
0   0
